original_text,summary
or alternatively 75 of the questions cover 10 of the topics in this group making them frequently asked so the other 25 cover 90 of the topics making them rarely asked and thus in sore need of answering chris lilley technical author itti computer graphics and visualisation training project computer graphics unit manchester computing centre oxford road manchester uk m13 9pl internet c c lilley mcc ac uk voice 44 0 61 275 6045 fax 44 0 61 275 6040 janet c c lilley uk ac mcc,or alternatively 75 of the questions cover 10 of the topics in this group making them frequently asked so the other 25 cover 90 of the topics making them rarely asked and thus in sore need of answering chris lilley technical author itti computer graphics and visualisation training project computer graphics unit manchester computing centre oxford road manchester uk m13 9pl internet c c lilley mcc ac uk voice 44 0 61 275 6045 fax 44 0 61 275 6040 janet c c lilley uk ac mcc
very well indeed at home a vl bus version of the graphics pro i can stretch an avi window to 640x480 and it will continue to play back smoothly it drops a few more frames but on most machines even attempting such a thing would mean one frame update every 30 seconds an isa graphics was able to do zoom by 2 without any perceptible performance penalty it is the best performance i ve seen so far with the possible exception of an intel indeo board which uses overlay so it doesn t have to move the decompressed data over the isa bus at any point,very well indeed at home a vl bus version of the graphics pro i can stretch an avi window to 640x480 and it will continue to play back smoothly it drops a few more frames but on most machines even attempting such a thing would mean one frame update every 30 seconds an isa graphics was able to do zoom by 2 without any perceptible performance penalty it is the best performance i ve seen so far with the possible exception of an intel indeo board which uses overlay so it doesn t have to move the decompressed data over the isa bus at any point
hello netters i have a question concerning scsi on dos i have a st01 scsi controller and two hard disks conected id s 0 and 1 i d like to connect a scsi streamer but i don t have software to access it does such a beast exist as shareware or pd also what if i want a third disk i know that dos only can see two two physical and four logical disks will it be possible to use extra disks thanks in advance ib,hello netters i have a question concerning scsi on dos i have a st01 scsi controller and two hard disks conected id s 0 and 1 i d like to connect a scsi streamer but i don t have software to access it does such a beast exist as shareware or pd also what if i want a third disk i know that dos only can see two two physical and four logical disks will it be possible to use extra disks thanks in advance ib
hello i have recently suffered from various problems concerning an adaptec 1542a controller problem 1 floppy disk drive doesn t work there s apparently at least two jumpers on the controller that affect the floppy disk drive unfortunately i have located only one of them in the lower front corner i would like to know if there are any other such jumpers and possibly where they are located problem 2 my hard disks refuse to boot with my two scsi hd s rodime miniscribe i get a message missing operating system even though the disks have been formatted with the same controller and they damn sure have an operating system on them if i boot from a quantum i might get as far as getting the ms dos version information this might of course be due to incombatible memory drivers are there any jumpers that could affect the hd causing such errors thanks in advance jouni,hello i have recently suffered from various problems concerning an adaptec 1542a controller problem 1 floppy disk drive doesn t work there s apparently at least two jumpers on the controller that affect the floppy disk drive unfortunately i have located only one of them in the lower front corner i would like to know if there are any other such jumpers and possibly where they are located problem 2 my hard disks refuse to boot with my two scsi hd s rodime miniscribe i get a message missing operating system even though the disks have been formatted with the same controller and they damn sure have an operating system on them if i boot from a quantum i might get as far as getting the ms dos version information this might of course be due to incombatible memory drivers are there any jumpers that could affect the hd causing such errors thanks in advance jouni
hello the subject line says it all i m looking for a tga file viewer for the ati ultra card it should support the true color modes of course if someone knows where to find one via ftp please let me know thanx,hello the subject line says it all i m looking for a tga file viewer for the ati ultra card it should support the true color modes of course if someone knows where to find one via ftp please let me know thanx
what is hardware handshaking and when do i want to use it dan,what is hardware handshaking and when do i want to use it dan
how many nubus slots do you have applied engineering has something called the quadralink which is a card with 4 serial ports that you get at through the comms toolbox in addition to the built in ones it also comes with software for fooling applications to open an ae port when they think they open a built in port they also have a more expensive card with dma better performance and i think they or someone else have a card that handles 8 ports simultaneously as i said with nubus you re green learn how to use the comms resource manager to get at the various installed cards cheers h,how many nubus slots do you have applied engineering has something called the quadralink which is a card with 4 serial ports that you get at through the comms toolbox in addition to the built in ones it also comes with software for fooling applications to open an ae port when they think they open a built in port they also have a more expensive card with dma better performance and i think they or someone else have a card that handles 8 ports simultaneously as i said with nubus you re green learn how to use the comms resource manager to get at the various installed cards cheers h
i have a very old mac 512k and a mac plus both of which have the same problem their screens blank out sometimes after a minor physical jolt such as inserting a floppy in the internal drive sometimes all by themselves computer left to itself just goes blank i have replaced the wires connecting the logic boards and the video board because it seemed at first that jiggling the wires made the screen come back on this worked for a while but the blanking out has returned can i do anything do i need a new power supply a new crt a new computer thanks for any advice ethan bodin tufts university ebodin pearl tufts edu,i have a very old mac 512k and a mac plus both of which have the same problem their screens blank out sometimes after a minor physical jolt such as inserting a floppy in the internal drive sometimes all by themselves computer left to itself just goes blank i have replaced the wires connecting the logic boards and the video board because it seemed at first that jiggling the wires made the screen come back on this worked for a while but the blanking out has returned can i do anything do i need a new power supply a new crt a new computer thanks for any advice ethan bodin tufts university ebodin pearl tufts edu
it helps to have some idea of the source of the distortion or at least a reasonable model of the class of distortion below is a very short description of the process which we use if you have further questions feel free to poke me via e mail assume locally smooth distortion 0 compute the delaunay triangulation of your x y points this defines the set of neighbors for each point if your data are not naturally convex you may have very long edges on the convex hull consider deleting these edges 1 now there are two goals a move the distorteddata x y to the reference x y b keep the length e as measured from the current x y s as close as possible to the digitizedlength e as measured using the digitized x y s 2 for every point compute a displacement based on a and b for example a for x y points for which you know the reference x y you can move alpha0 reference x y current x y this will slowly move the distortedreference x y towards the reference x y b for all other points examine the current length of each edge for each edge compute a displacement which would make that edge the correct length where correct is the digitizedlength take the vector sum of these edge displacements and move the point alpha1 sumofedgedisplacements this will keep the triangulated mesh consistent with your digitized mesh 3 iterate 2 until you are happy for example no point moves very much alpha0 and alpha1 need to be determined by experimentation consider how much you believe the reference x y i e do you absolutely insist on the final points exactly matching the references or do you want to balance some error in matching the reference against changes in length of the edges warning there are a couple of geometric invariants which must be observed essentially you can t allow the convex hull to change and you can t allow triangles to fold over neighboring triangles both of these can be handled either by special case checks on the motion of individual points or by periodically re triangulating the points using the current positions but still calculating digitizedlength from the original positions when we first did this the triangulation time was prohibitive so we only did it once if i were motivated to try and change code that has been working in production mode for 5 years i might go back and re triangulate on every iteration if you have more compute power than you know what to do with you might consider having every point interact with every other point but first read up on linear solutions to the n body problem there are lots of papers in the last 10 years of siggraph proceedings on springs constraints and energy calculations which are relevant the above method is described in more or less detail in inproceedings sloan86 author sloan jr kenneth r and david meyers and christine a curcio title reconstruction and display of the retina booktitle proceedings graphics interface 86 vision interface 86 address vancouver canada pages 385 389 month may year 1986 techreport curcio87b author christine a curcio and kenneth r sloan and david meyers title computer methods for sampling reconstruction display and analysis of retinal whole mounts number tr 87 12 03 institution department of computer science university of washington address seattle wa month december year 1987 article curcio89 author christine a curcio and kenneth r sloan and david meyers title computer methods for sampling reconstruction display and analysis of retinal whole mounts journal vision research volume 29 number 5 pages 529 540 year 1989,it helps to have some idea of the source of the distortion or at least a reasonable model of the class of distortion below is a very short description of the process which we use if you have further questions feel free to poke me via e mail assume locally smooth distortion 0 compute the delaunay triangulation of your x y points this defines the set of neighbors for each point if your data are not naturally convex you may have very long edges on the convex hull consider deleting these edges 1 now there are two goals a move the distorteddata x y to the reference x y b keep the length e as measured from the current x y s as close as possible to the digitizedlength e as measured using the digitized x y s 2 for every point compute a displacement based on a and b for example a for x y points for which you know the reference x y you can move alpha0 reference x y current x y this will slowly move the distortedreference x y towards the reference x y b for all other points examine the current length of each edge for each edge compute a displacement which would make that edge the correct length where correct is the digitizedlength take the vector sum of these edge displacements and move the point alpha1 sumofedgedisplacements this will keep the triangulated mesh consistent with your digitized mesh 3 iterate 2 until you are happy for example no point moves very much alpha0 and alpha1 need to be determined by experimentation consider how much you believe the reference x y i e do you absolutely insist on the final points exactly matching the references or do you want to balance some error in matching the reference against changes in length of the edges warning there are a couple of geometric invariants which must be observed essentially you can t allow the convex hull to change and you can t allow triangles to fold over neighboring triangles both of these can be handled either by special case checks on the motion of individual points or by periodically re triangulating the points using the current positions but still calculating digitizedlength from the original positions when we first did this the triangulation time was prohibitive so we only did it once if i were motivated to try and change code that has been working in production mode for 5 years i might go back and re triangulate on every iteration if you have more compute power than you know what to do with you might consider having every point interact with every other point but first read up on linear solutions to the n body problem there are lots of papers in the last 10 years of siggraph proceedings on springs constraints and energy calculations which are relevant the above method is described in more or less detail in inproceedings sloan86 author sloan jr kenneth r and david meyers and christine a curcio title reconstruction and display of the retina booktitle proceedings graphics interface 86 vision interface 86 address vancouver canada pages 385 389 month may year 1986 techreport curcio87b author christine a curcio and kenneth r sloan and david meyers title computer methods for sampling reconstruction display and analysis of retinal whole mounts number tr 87 12 03 institution department of computer science university of washington address seattle wa month december year 1987 article curcio89 author christine a curcio and kenneth r sloan and david meyers title computer methods for sampling reconstruction display and analysis of retinal whole mounts journal vision research volume 29 number 5 pages 529 540 year 1989
the general consensus seems to be that an extended keyboard or the new ergonomic keyboard with mouse is ok the pb160 is rated for 200ma which is apparently identical to the lc and the lc works fine with said attachments thanks very much to those who replied i am now on my way to order a battleship and a mouse,the general consensus seems to be that an extended keyboard or the new ergonomic keyboard with mouse is ok the pb160 is rated for 200ma which is apparently identical to the lc and the lc works fine with said attachments thanks very much to those who replied i am now on my way to order a battleship and a mouse
